unit_id,sha256,representative_uid,n_files,class_folders,cross_class,label,in_primary,width,height
1,a963d4023962702a8ccd9533ed4695123e1cdb94bacf1a2d6c14070a8ab78d44,No/1 (1).jpeg,3,No,0,0,1,1028,938
2,2bb37760d288c2db46c464ca04890d30df03271054402a27e1df5c0b05164a80,No/1 (10).jpeg,3,No,0,0,1,956,778
3,bd0ea3affb93a9ecc0f9742b25ae5e2e7584903d79359dc614fa48ac4fa92924,No/1 (2).jpeg,3,No,0,0,1,1056,1162
4,ce1bec4820843d50d23f76f9a7d4fa7c23fc2447335b3b7e0c646cc958d5d649,No/1 (3).jpeg,3,No,0,0,1,994,1135
5,0c435baf912720cd345852cc41344b7c478e61a6ee112fc50144d86c3bc82fd8,No/1 (4).jpeg,2,No,0,0,1,799,1162
6,63c6e614629b36753380a7833dc33f2b56ebbd76a23db5e455450aeb0d603e0a,No/1 (5).jpeg,2,No,0,0,1,679,897
7,97ce06cf854b96f5cfec35502b536425cdd4050217c4855ff175463bb1264852,No/1 (8).jpeg,3,No,0,0,1,925,943
8,8df617dc9702b07bc5da3fb0eb587ecde15be4ba68f70e107b6e32f461cc5035,No/1 (9).jpeg,3,No,0,0,1,549,1027
9,4cb5b829fa15053c9b5de56793ab37eb95f3931c1ee8d15e5921ad5492a50e3b,No/10 (1).jpeg,3,No,0,0,1,146,588
10,e152ac452125c4f9ab0cee98cb6568f7d77afa0ab0e4e032f8329fc79279c103,No/10 (11).jpeg,3,No,0,0,1,211,479
11,0186a1663f86a53937f50b02c1b820f18ddb8db20cb45c7454d850d4b7ebe001,No/10 (12).jpeg,3,No,0,0,1,313,346
12,64b49c0d06479cbd5b092d2ef988904b11c15a8a8027aafd55fc8b3df11ae8d6,No/10 (13).jpeg,3,No,0,0,1,355,515
13,67de5afb9b5ff82bfa343fd9e477978220ca8a138ba29247e643e8991dad2b68,No/10 (14).jpeg,2,No,0,0,1,196,462
14,18c618918716fc1a8644cee53f7cec646ddbb87a7b9e391bc4cc800f25e4394b,No/10 (15).jpeg,2,No,0,0,1,140,526
15,be408e479ba2395865f80dda3bfb5a3d2750065134242affbd7454a50c7cca4c,No/10 (16).jpeg,3,No,0,0,1,282,620
16,a38bee435f3c1b92e6a73fc00610d1eb89665b85e004cf772e7eb2693707a0b9,No/10 (17).jpeg,3,No,0,0,1,148,453
17,dd34215a36edbdd33d100e533a02a6b3dd07ef9160d4f52be903851e3dbc4022,No/10 (18).jpeg,3,No,0,0,1,119,169
18,a89f6d431c1e8f9880c4fd1c44cd130ff6dad5c5ff175e3ff161e3e434ec17ea,No/10 (2).jpeg,3,No,0,0,1,338,649
19,b1efba2d003622246a5fa18e1ec21840deb20f58cba60c916cc8f768d8e7d08e,No/10 (21).jpeg,3,No,0,0,1,491,693
20,58232ee2c3bcf299415690ccba7621e9876db8aacbb22615e0677ecf6f6a9ef7,No/10 (22).jpeg,3,No,0,0,1,545,766
21,7d39de75852651473e8de883f0b4f064da8a94a9703670ab1af49d261f4c5d92,No/10 (23).jpeg,3,No,0,0,1,491,701
22,1ea614f0e8d7c9070d21230ca4ed39986f48105ddffc495e1e923c59404fbfaf,No/10 (24).jpeg,2,No,0,0,1,729,491
23,d88309043aa032b4db80dba11d99a33c2ec5cc04a287b22d0e7dde752be40411,No/10 (25).jpeg,2,No,0,0,1,714,532
24,ab61c38755340009d0c8c02dc83c0a6f53a77f7229f0dbaabe249bd5a1ba30a2,No/10 (26).jpeg,3,No,0,0,1,664,491
25,df9f2ab45306d33a4e2d0c7149524274ef2ea8b49b8ab134af850688013d8e70,No/10 (27).jpeg,3,No,0,0,1,492,736
26,b8bcf90d709432b5a0554d8ab8a5e5cdee0ec2a62a1e2b51f7ce1a1044401c59,No/10 (28).jpeg,3,No,0,0,1,491,643
27,c2023680afb9d1133573d217b00075788b18e6a55d0044ab455f315e7f5f6277,No/10 (3).jpeg,3,No,0,0,1,239,369
28,16d0f6794508e22eeb52a5d66279993f6f10b33576ffb2f583da361ea63a29a4,No/10 (31).jpeg,2,No,0,0,1,471,481
29,6a571020bff3675a841cb45ee8a502615ed0257b71eab5e18bf31c9ba2f38d54,No/10 (32).jpeg,2,No,0,0,1,324,345
30,7675b62e577fd6099981244baaf360876e4354a3bad9897b988c7df8c3176cf3,No/10 (33).jpeg,2,No,0,0,1,141,230
31,9d9fd53c3e0c6ab0205c2890398c4946ff90cfc1d0ed35b3ff5452fe5c4df65d,No/10 (34).jpeg,2,No,0,0,1,144,349
32,a6bd3e4be1bd068a0e33b7bc747d7d9201755b463b5b0a69b6c62cf3c9bbddf0,No/10 (35).jpeg,3,No,0,0,1,240,494
33,c70f3995fc83e7598d8da5aac0281e016fd95df1d3c457fb08a45e5020d7bc6a,No/10 (36).jpeg,4,No,0,0,1,128,251
34,07853271bad6725cb4d88878f86bb5eaf091acccd3a13d47fb054cd0bb86c2ac,No/10 (37).jpeg,4,No,0,0,1,193,374
35,303f01a526ae84353dc79f9dd8e88df0a961f6218854b355fe2ac79734b22a68,No/10 (4).jpeg,2,No,0,0,1,187,256
36,f7dca24ef959ee86de8b97b1400f5ad2fc3e75a38ba22b8bed326b4c116519ad,No/10 (5).jpeg,2,No,0,0,1,541,624
37,c883d796ac1af435f9d42334aba772c764a9d95b2181bb98bcff8e49b1baf1c8,No/10 (6).jpeg,3,No,0,0,1,241,491
38,d0eb9705f29dbc309b86a9b725bc608617b1d1af412714c1379e41660bdcf3cb,No/10 (7).jpeg,3,No,0,0,1,231,361
39,b5d6d3fd809ae8476699d4c5171175c98ddef78ba79f5478ffd49932f51e008a,No/10 (8).jpeg,3,No,0,0,1,246,437
40,4a60958ef34b3195117b8051d6f93945e91a98577ce13ee0544cf697ba834ba4,No/11 (1).jpeg,2,No,0,0,1,656,547
41,80b4846f3c1915705809d5d6533a86b725d445054e6e7fc03ee85a7d62f215f9,No/11 (10).jpeg,2,No,0,0,1,503,509
42,364050a2a9fdd68e188f8336feb747a3da710fec7e790ff6dbd634496793a76b,No/11 (11).jpeg,2,No,0,0,1,576,492
43,d0a040316d6e6200a3cbaa6e22f2fd4a3d2b7232f5f39d14c51a079063f38807,No/11 (14).jpeg,2,No,0,0,1,582,535
44,da10d57e67c48a363dc2cfeae7307bf1c61c839bece7dace4beaabf9feebaa74,No/11 (15).jpeg,2,No,0,0,1,560,528
45,f24322f0e9e682bdddc79bcd8c3bea63e03cb89045700fd9ef4eb3fd7a01e745,No/11 (16).jpeg,2,No,0,0,1,515,565
46,4326d6872fca976c973b39e5ac7e43e2f4106493a83f2c3675b0d21e94a8d2de,No/11 (17).jpeg,2,No,0,0,1,542,467
47,2974660d603842a0d4573e82c981c42b61526e83226b1692aea7d116ab292778,No/11 (18).jpeg,2,No,0,0,1,641,491
48,53095df9cabd4f796e1d15f6109cc73aae4e328dfda31c529d17e5acb05f17c0,No/11 (19).jpeg,2,No,0,0,1,557,406
49,e6ce5b0167ce9c99a51596d83ba3a96d6c632e37f97ed65ae0ca75cce0e68ba5,No/11 (20).jpeg,2,No,0,0,1,741,491
50,6e8a62192639ee1a23639fe82ee151ea9130e9a068c5f65a4a4dec8640141854,No/11 (34).jpeg,2,No,0,0,1,491,491
51,6fdbddc397a677abe412f91df5abae64af6e00ad20cf2e63f7edc9465f1a29ae,No/11 (4).jpeg,2,No,0,0,1,664,491
52,f6aabeae75556e4f4dd7caf0703472f4dbb916118aa120c5cadef2d358ace2fc,No/11 (5).jpeg,2,No,0,0,1,783,491
53,f7017238a998a286223dbd2dcbe00a3d0ada32c45abf409fa45089338d0ab504,No/11 (6).jpeg,2,No,0,0,1,499,491
