unit_id,script,digit_glyph,ambiguous,note
1,digit,western,0,5
2,digit,western,0,4
3,digit,western,0,6
4,digit,western,0,7
5,digit,western,0,8
6,digit,western,0,9
7,digit,western,0,3
8,digit,western,1,closed circle; digit 0 vs Latin O
9,urdu,na,0,zay/zhe
10,urdu,na,0,ghain
11,urdu,na,0,kaaf
12,urdu,na,0,kaaf
13,english,na,1,uppercase J vs Urdu laam
14,urdu,na,0,meem
15,urdu,na,0,noon
16,urdu,na,0,waw
17,digit,western,1,closed circle; digit 0 vs Latin O
18,urdu,na,0,seen
19,urdu,na,0,be/noon curve
20,urdu,na,1,bare vertical stroke; alif vs digit 1
21,urdu,na,0,alif with madda
22,urdu,na,1,several characters in frame
23,urdu,na,1,several characters in frame
24,urdu,na,1,several characters in frame
25,urdu,na,1,several characters in frame
26,urdu,na,0,qaaf/fe ligature
27,urdu,na,0,sheen
28,urdu,na,1,jeem/hey dominant; faint characters below
29,urdu,na,0,khe with dot
30,urdu,na,0,re/rre heavy stroke
31,urdu,na,0,zoe above zay
32,urdu,na,0,zay
33,urdu,na,0,laam
34,urdu,na,0,zoe above zay
35,urdu,na,0,suad
36,urdu,na,0,zuad ligature
37,urdu,na,0,toe/zoe
38,urdu,na,0,zoe
39,urdu,na,0,ain/hey heavy
40,urdu,na,0,zay
41,urdu,na,0,ghain
42,urdu,na,0,fe
43,urdu,na,0,te/be with two strokes
44,urdu,na,0,laam/noon bowl
45,urdu,na,0,meem
46,urdu,na,0,noon/he with dot inside
47,urdu,na,0,waw small
48,english,na,0,lowercase y
49,urdu,na,0,kaaf/ye
50,urdu,na,1,toe over zay; two characters in frame
51,urdu,na,0,sheen/se
52,urdu,na,0,suad family
53,urdu,na,0,zuad with dot
54,urdu,na,0,toe
55,urdu,na,0,zoe with dot
56,urdu,na,0,ain
57,urdu,na,0,khe/ghain with dot
58,urdu,na,0,fe
59,digit,western,0,4
60,urdu,na,0,kaaf/ye
61,urdu,na,0,pe with three dots below
62,urdu,na,0,te/be bowl with dots
63,urdu,na,0,be/tay in bowl
64,urdu,na,0,se/be with dots in bowl
65,urdu,na,0,jeem/che small
66,urdu,na,1,dominant zay-like glyph; two fainter characters lower in frame
67,urdu,na,1,several faint characters; dominant one indistinct
68,urdu,na,0,zay small
69,urdu,na,0,rre/zay small
70,urdu,na,1,several characters in frame
71,urdu,na,0,noon/laam bowl
72,urdu,na,0,zoe small
73,urdu,na,0,ain
74,urdu,na,0,ain
75,urdu,na,0,qaaf/fe ligature
76,urdu,na,0,qaaf
77,urdu,na,0,meem
78,urdu,na,0,noon with dot
79,urdu,na,1,loop with tail; waw vs digit 9
80,urdu,na,1,small curled glyph; hamza vs cursive 8
81,urdu,na,0,che/jeem with dots
82,urdu,na,1,several characters in frame
83,digit,western,0,1 with base serif
84,digit,western,0,2
85,digit,western,1,closed circle; digit 0 vs Latin O
86,digit,western,0,1 with base serif
87,digit,western,0,2
88,digit,western,0,3
89,digit,western,0,4
90,digit,western,0,5
91,english,na,0,uppercase G
92,digit,western,0,7 with crossbar
93,digit,western,0,8
94,digit,western,0,9
95,urdu,na,1,bare vertical stroke; alif vs digit 1
96,urdu,na,1,small hooked form; kaaf/tay vs digit 7
97,urdu,na,0,be with dot below
98,urdu,na,0,be/pe with dots in bowl
99,urdu,na,0,be/noon bowl
100,urdu,na,0,toe in bowl
101,urdu,na,0,fe/be bowl
102,urdu,na,0,jeem/che
103,urdu,na,0,jeem/che with dot
104,urdu,na,1,small curl; hey vs digit 2
105,urdu,na,0,khe with dot
106,digit,western,1,angular form; digit 7 vs Latin Z
107,urdu,na,0,dde/zal
108,urdu,na,0,re/dal
109,urdu,na,0,zoe above zay
110,urdu,na,0,zhe with three dots
111,urdu,na,0,seen
112,urdu,na,0,qaaf with two dots
