unit_id,script,digit_glyph,ambiguous,source,annotA_script,annotB_script
1,digit,western,0,agreed,digit,digit
2,digit,western,0,agreed,digit,digit
3,digit,western,0,agreed,digit,digit
4,digit,western,0,agreed,digit,digit
5,digit,western,0,agreed,digit,digit
6,digit,western,0,agreed,digit,digit
7,digit,western,0,agreed,digit,digit
8,urdu,na,1,adjudicated_human,digit,urdu
9,urdu,na,0,agreed,urdu,urdu
10,urdu,na,0,agreed,urdu,urdu
11,urdu,na,0,agreed,urdu,urdu
12,urdu,na,0,agreed,urdu,urdu
13,urdu,na,1,adjudicated_human,english,urdu
14,urdu,na,0,agreed,urdu,urdu
15,urdu,na,0,agreed,urdu,urdu
16,urdu,na,0,agreed,urdu,urdu
17,digit,western,1,agreed,digit,digit
18,urdu,na,0,agreed,urdu,urdu
19,urdu,na,0,agreed,urdu,urdu
20,urdu,na,1,agreed,urdu,urdu
21,urdu,na,0,agreed,urdu,urdu
22,urdu,na,1,agreed,urdu,urdu
23,urdu,na,1,agreed,urdu,urdu
24,urdu,na,1,agreed,urdu,urdu
25,urdu,na,1,agreed,urdu,urdu
26,urdu,na,0,agreed,urdu,urdu
27,urdu,na,0,agreed,urdu,urdu
28,urdu,na,1,agreed,urdu,urdu
29,urdu,na,0,agreed,urdu,urdu
30,urdu,na,0,agreed,urdu,urdu
31,urdu,na,0,agreed,urdu,urdu
32,urdu,na,0,agreed,urdu,urdu
33,urdu,na,0,agreed,urdu,urdu
34,urdu,na,0,agreed,urdu,urdu
35,urdu,na,0,agreed,urdu,urdu
36,urdu,na,0,agreed,urdu,urdu
37,urdu,na,0,agreed,urdu,urdu
38,urdu,na,0,agreed,urdu,urdu
39,urdu,na,0,agreed,urdu,urdu
40,urdu,na,0,agreed,urdu,urdu
41,urdu,na,0,agreed,urdu,urdu
42,urdu,na,0,agreed,urdu,urdu
43,urdu,na,0,agreed,urdu,urdu
44,urdu,na,0,agreed,urdu,urdu
45,urdu,na,0,agreed,urdu,urdu
46,urdu,na,0,agreed,urdu,urdu
47,urdu,na,0,agreed,urdu,urdu
48,urdu,na,0,adjudicated_human,english,urdu
49,urdu,na,0,agreed,urdu,urdu
50,urdu,na,1,agreed,urdu,urdu
51,urdu,na,0,agreed,urdu,urdu
52,urdu,na,0,agreed,urdu,urdu
53,urdu,na,0,agreed,urdu,urdu
54,urdu,na,0,agreed,urdu,urdu
55,urdu,na,0,agreed,urdu,urdu
56,urdu,na,0,agreed,urdu,urdu
57,urdu,na,0,agreed,urdu,urdu
58,urdu,na,0,agreed,urdu,urdu
59,urdu,na,0,adjudicated_human,digit,urdu
60,urdu,na,0,agreed,urdu,urdu
61,urdu,na,0,agreed,urdu,urdu
62,urdu,na,0,agreed,urdu,urdu
63,urdu,na,0,agreed,urdu,urdu
64,urdu,na,0,agreed,urdu,urdu
65,urdu,na,0,agreed,urdu,urdu
66,urdu,na,1,agreed,urdu,urdu
67,urdu,na,1,agreed,urdu,urdu
68,urdu,na,0,agreed,urdu,urdu
69,urdu,na,0,agreed,urdu,urdu
70,urdu,na,1,agreed,urdu,urdu
71,urdu,na,0,agreed,urdu,urdu
72,urdu,na,0,agreed,urdu,urdu
73,urdu,na,0,agreed,urdu,urdu
74,urdu,na,0,agreed,urdu,urdu
75,urdu,na,0,agreed,urdu,urdu
76,urdu,na,0,agreed,urdu,urdu
77,urdu,na,0,agreed,urdu,urdu
78,urdu,na,0,agreed,urdu,urdu
79,urdu,na,1,agreed,urdu,urdu
80,urdu,na,1,agreed,urdu,urdu
81,urdu,na,0,agreed,urdu,urdu
82,urdu,na,1,agreed,urdu,urdu
83,digit,western,0,agreed,digit,digit
84,digit,western,0,agreed,digit,digit
85,digit,western,1,agreed,digit,digit
86,digit,western,0,agreed,digit,digit
87,digit,western,0,agreed,digit,digit
88,digit,western,0,agreed,digit,digit
89,digit,western,0,agreed,digit,digit
90,digit,western,0,agreed,digit,digit
91,digit,western,0,adjudicated_human,english,digit
92,digit,western,0,agreed,digit,digit
93,digit,western,0,agreed,digit,digit
94,digit,western,0,agreed,digit,digit
95,urdu,na,1,agreed,urdu,urdu
96,urdu,na,1,agreed,urdu,urdu
97,urdu,na,0,agreed,urdu,urdu
98,urdu,na,0,agreed,urdu,urdu
99,urdu,na,0,agreed,urdu,urdu
100,urdu,na,0,agreed,urdu,urdu
101,urdu,na,0,agreed,urdu,urdu
102,urdu,na,0,agreed,urdu,urdu
103,urdu,na,0,agreed,urdu,urdu
104,urdu,na,1,agreed,urdu,urdu
105,urdu,na,0,agreed,urdu,urdu
106,digit,western,1,agreed,digit,digit
107,urdu,na,0,agreed,urdu,urdu
108,urdu,na,0,agreed,urdu,urdu
109,urdu,na,0,agreed,urdu,urdu
110,urdu,na,0,agreed,urdu,urdu
111,urdu,na,0,agreed,urdu,urdu
112,urdu,na,0,agreed,urdu,urdu
113,urdu,na,0,agreed,urdu,urdu
114,urdu,na,0,agreed,urdu,urdu
115,english,na,0,agreed,english,english
116,english,na,0,agreed,english,english
117,urdu,na,0,adjudicated_human,english,urdu
118,english,na,0,agreed,english,english
119,english,na,0,agreed,english,english
120,english,na,0,agreed,english,english
121,english,na,0,agreed,english,english
122,english,na,0,agreed,english,english
123,english,na,0,agreed,english,english
124,english,na,1,adjudicated_human,digit,english
125,english,na,0,agreed,english,english
126,english,na,1,agreed,english,english
127,english,na,0,agreed,english,english
128,urdu,na,0,adjudicated_human,english,urdu
129,english,na,0,agreed,english,english
130,english,na,0,agreed,english,english
131,english,na,0,agreed,english,english
132,english,na,0,agreed,english,english
133,english,na,0,agreed,english,english
134,english,na,0,agreed,english,english
135,english,na,0,agreed,english,english
136,english,na,0,agreed,english,english
137,english,na,0,agreed,english,english
138,english,na,0,agreed,english,english
139,english,na,0,agreed,english,english
140,english,na,0,agreed,english,english
141,english,na,0,agreed,english,english
142,urdu,na,1,agreed,urdu,urdu
143,urdu,na,0,adjudicated_human,english,urdu
144,english,na,0,agreed,english,english
145,digit,western,0,agreed,digit,digit
146,english,na,0,agreed,english,english
147,urdu,na,0,agreed,urdu,urdu
148,urdu,na,1,agreed,urdu,urdu
149,english,na,0,agreed,english,english
150,english,na,0,agreed,english,english
151,english,na,0,agreed,english,english
152,english,na,0,agreed,english,english
153,english,na,1,adjudicated_human,digit,english
154,english,na,0,agreed,english,english
155,english,na,0,agreed,english,english
156,english,na,0,agreed,english,english
157,english,na,1,agreed,english,english
158,english,na,0,adjudicated_human,digit,english
159,english,na,0,agreed,english,english
160,english,na,0,agreed,english,english
161,english,na,0,agreed,english,english
162,english,na,0,agreed,english,english
163,digit,western,1,agreed,digit,digit
164,english,na,0,agreed,english,english
165,english,na,0,agreed,english,english
166,digit,western,0,agreed,digit,digit
167,digit,western,0,agreed,digit,digit
168,digit,western,0,agreed,digit,digit
169,digit,western,0,agreed,digit,digit
170,digit,western,0,agreed,digit,digit
171,digit,western,0,agreed,digit,digit
172,digit,western,1,agreed,digit,digit
173,digit,western,0,agreed,digit,digit
174,digit,western,0,agreed,digit,digit
175,digit,western,0,agreed,digit,digit
176,digit,western,0,agreed,digit,digit
177,digit,western,0,agreed,digit,digit
178,digit,western,0,agreed,digit,digit
179,digit,western,0,agreed,digit,digit
180,digit,western,0,agreed,digit,digit
181,digit,western,0,agreed,digit,digit
182,digit,western,0,agreed,digit,digit
183,digit,western,0,agreed,digit,digit
184,digit,western,0,agreed,digit,digit
185,digit,western,0,agreed,digit,digit
186,digit,western,0,agreed,digit,digit
187,digit,western,0,agreed,digit,digit
188,urdu,na,1,agreed,urdu,urdu
189,digit,western,0,agreed,digit,digit
190,digit,western,0,agreed,digit,digit
191,digit,western,1,agreed,digit,digit
192,digit,western,0,agreed,digit,digit
193,digit,western,0,agreed,digit,digit
194,digit,western,0,agreed,digit,digit
195,digit,western,0,agreed,digit,digit
196,digit,western,0,agreed,digit,digit
197,digit,western,0,agreed,digit,digit
198,digit,western,0,agreed,digit,digit
199,digit,western,1,agreed,digit,digit
200,urdu,na,0,agreed,urdu,urdu
201,urdu,na,0,agreed,urdu,urdu
202,urdu,na,1,agreed,urdu,urdu
203,urdu,na,1,agreed,urdu,urdu
204,urdu,na,0,agreed,urdu,urdu
205,urdu,na,0,agreed,urdu,urdu
206,urdu,na,1,agreed,urdu,urdu
207,urdu,na,0,agreed,urdu,urdu
208,urdu,na,1,agreed,urdu,urdu
209,digit,western,1,agreed,digit,digit
210,urdu,na,1,agreed,urdu,urdu
211,digit,western,0,agreed,digit,digit
212,digit,western,0,agreed,digit,digit
213,digit,western,0,agreed,digit,digit
214,digit,western,0,agreed,digit,digit
215,digit,western,0,agreed,digit,digit
216,digit,western,0,agreed,digit,digit
217,digit,western,0,agreed,digit,digit
218,digit,western,0,agreed,digit,digit
219,digit,western,0,agreed,digit,digit
220,digit,western,0,agreed,digit,digit
221,digit,western,0,agreed,digit,digit
222,digit,western,1,agreed,digit,digit
223,english,na,1,adjudicated_human,digit,english
224,digit,western,0,agreed,digit,digit
225,urdu,na,0,agreed,urdu,urdu
226,urdu,na,0,agreed,urdu,urdu
227,urdu,na,0,agreed,urdu,urdu
228,urdu,na,0,agreed,urdu,urdu
229,urdu,na,0,agreed,urdu,urdu
230,urdu,na,0,agreed,urdu,urdu
231,urdu,na,1,agreed,urdu,urdu
232,urdu,na,0,agreed,urdu,urdu
233,urdu,na,1,agreed,urdu,urdu
234,urdu,na,1,agreed,urdu,urdu
235,urdu,na,0,agreed,urdu,urdu
236,urdu,na,0,agreed,urdu,urdu
237,urdu,na,0,agreed,urdu,urdu
238,urdu,na,0,agreed,urdu,urdu
239,urdu,na,0,agreed,urdu,urdu
240,urdu,na,0,agreed,urdu,urdu
241,urdu,na,0,agreed,urdu,urdu
242,urdu,na,0,agreed,urdu,urdu
243,urdu,na,0,agreed,urdu,urdu
244,urdu,na,0,agreed,urdu,urdu
245,urdu,na,0,agreed,urdu,urdu
246,urdu,na,0,agreed,urdu,urdu
247,urdu,na,0,agreed,urdu,urdu
248,urdu,na,0,agreed,urdu,urdu
249,urdu,na,0,agreed,urdu,urdu
250,urdu,na,0,agreed,urdu,urdu
251,urdu,na,0,agreed,urdu,urdu
252,urdu,na,1,agreed,urdu,urdu
253,urdu,na,0,agreed,urdu,urdu
254,urdu,na,0,agreed,urdu,urdu
255,urdu,na,1,agreed,urdu,urdu
256,urdu,na,0,agreed,urdu,urdu
257,urdu,na,1,agreed,urdu,urdu
258,urdu,na,0,agreed,urdu,urdu
259,urdu,na,0,agreed,urdu,urdu
260,urdu,na,0,agreed,urdu,urdu
261,urdu,na,0,agreed,urdu,urdu
262,urdu,na,0,agreed,urdu,urdu
263,urdu,na,0,agreed,urdu,urdu
264,urdu,na,0,agreed,urdu,urdu
265,urdu,na,0,agreed,urdu,urdu
266,urdu,na,0,agreed,urdu,urdu
267,urdu,na,0,agreed,urdu,urdu
268,urdu,na,0,adjudicated_human,english,urdu
269,urdu,na,0,agreed,urdu,urdu
