uid,filename,class_folder,label,sha256,bytes,width,height,mode,format
Yes/2024-02-04 13.48.14.jpeg,2024-02-04 13.48.14.jpeg,Yes,1,66def3fb1fa47e37cedf1114cb3bcffbe2e59bfa7186c14801bf34273f835a7d,129164,614,716,RGB,JPEG
Yes/2024-02-04 13.49.32.jpeg,2024-02-04 13.49.32.jpeg,Yes,1,03300cd4cbf9d1402f68f19f6f74b3205ff799ea7c30a7a58fbe92b40eb6b703,34198,296,426,RGB,JPEG
Yes/2024-02-04 13.50.03.jpeg,2024-02-04 13.50.03.jpeg,Yes,1,0bd96925f9717c9dc7c2aa985bbf4a895e4f22df018cf427579775458abd6df5,67440,507,709,RGB,JPEG
Yes/2024-02-04 13.50.29.jpeg,2024-02-04 13.50.29.jpeg,Yes,1,ff95ff3a281488a8a61dc8dff594b0ab22d0f596327236806aa874c25133c096,70665,522,659,RGB,JPEG
Yes/2024-02-04 13.50.55.jpeg,2024-02-04 13.50.55.jpeg,Yes,1,00dfff88dbefc9a114117eac19482ba2e5d561132180e8b47bc3503b793f8f80,78407,641,697,RGB,JPEG
Yes/2024-02-04 13.51.15.jpeg,2024-02-04 13.51.15.jpeg,Yes,1,694abf711d9c745b12b6ce28f2a6287584ff1700f68ee6f2d12a51308a50eb5b,123720,879,793,RGB,JPEG
Yes/2024-02-04 13.51.35.jpeg,2024-02-04 13.51.35.jpeg,Yes,1,251252df38c3b11e6583e6eedd46cb21e57256b131aa5dfeab11356d9f692500,108673,844,724,RGB,JPEG
Yes/2024-02-04 13.51.54.jpeg,2024-02-04 13.51.54.jpeg,Yes,1,e14fb9859c3994296d329a26cbf12e5081a4c700eeb04081991dea93c51dca81,105086,587,977,RGB,JPEG
Yes/2024-02-04 13.52.13.jpeg,2024-02-04 13.52.13.jpeg,Yes,1,a8793ad4223291c20dd2037160eac2dcb61d7e4a71d1fc7513353e24e1216642,79452,629,674,RGB,JPEG
Yes/2024-02-04 13.52.34.jpeg,2024-02-04 13.52.34.jpeg,Yes,1,fe3a54db97960d2489b3240dff59d87945ed0652e6073ec122fcc19eede933e7,76604,518,793,RGB,JPEG
Yes/2024-02-04 13.52.51.jpeg,2024-02-04 13.52.51.jpeg,Yes,1,6a922c1fdff52cb7f647e033b96c33be24065e5c38ffc3865d23ed9139a5d7ed,85392,491,973,RGB,JPEG
Yes/2024-02-04 13.53.10.jpeg,2024-02-04 13.53.10.jpeg,Yes,1,032907fea304ab90a259b2d94dbf251370ae8c87ecc448087415eaf21d7570d3,78698,491,724,RGB,JPEG
Yes/2024-02-04 13.53.38.jpeg,2024-02-04 13.53.38.jpeg,Yes,1,efbd4c11c85177ac478cc26e66c7bab1559c95089ffd1c5ca5f4d38e345b7315,69256,583,597,RGB,JPEG
Yes/2024-02-04 13.53.54.jpeg,2024-02-04 13.53.54.jpeg,Yes,1,edb8b1091e12e5d362b66b0c0ce70c1a7a9b539634032520daf35d52923beb94,66376,491,697,RGB,JPEG
Yes/2024-02-04 13.54.11.jpeg,2024-02-04 13.54.11.jpeg,Yes,1,ea3a5072303ade23940c2f81a5f2ec8871a63dd7f966f262a65aaf1fb7d32b79,41990,408,533,RGB,JPEG
