phase,arm,config_hash,seed,corpus,split_file,eval_partition,n_params,n_params_trainable,epochs_run,best_epoch,acc,bal_acc,prec,rec,f1,auc,acc_urdu,acc_english,acc_digit,f1_urdu,f1_english,f1_digit,n_urdu,n_english,n_digit,optimizer,learning_rate,weight_decay,depth_config,sca_d,sca_r,backbone,runtime_s,env,timestamp
tuning,A3,9c4a50a986,101,primary,split_v1.json,val,9651652,6422788,14,9,0.709677,0.652729,0.755556,0.829268,0.790698,0.819977,0.731707,0.777778,0.583333,0.830769,0.75,0.615385,41,9,12,adam,0.0001,0.0,,16,16,mobilenet,64.52,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:11:21+00:00
tuning,A3,9c4a50a986,102,primary,split_v1.json,val,9651652,6422788,17,12,0.709677,0.664344,0.767442,0.804878,0.785714,0.839721,0.756098,0.777778,0.5,0.83871,0.75,0.571429,41,9,12,adam,0.0001,0.0,,16,16,mobilenet,56.13,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:12:17+00:00
tuning,A1_all,7c6ce8d2bc,101,primary,split_v1.json,val,9821161,6592297,13,8,0.806452,0.749129,0.808511,0.926829,0.863636,0.860627,0.829268,0.777778,0.75,0.895522,0.75,0.769231,41,9,12,adam,0.0001,0.0,all,16,16,mobilenet,239.89,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:28:37+00:00
tuning,A1_all,7c6ce8d2bc,102,primary,split_v1.json,val,9821161,6592297,13,8,0.83871,0.785134,0.829787,0.95122,0.886364,0.858304,0.853659,0.777778,0.833333,0.909091,0.75,0.857143,41,9,12,adam,0.0001,0.0,all,16,16,mobilenet,268.83,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:33:06+00:00
tuning,A1_all,7c6ce8d2bc,103,primary,split_v1.json,val,9821161,6592297,12,7,0.774194,0.678281,0.754717,0.97561,0.851064,0.825784,0.780488,0.666667,0.833333,0.869565,0.666667,0.875,41,9,12,adam,0.0001,0.0,all,16,16,mobilenet,219.36,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:36:46+00:00
tuning,A1_all,15d29ac5da,101,primary,split_v1.json,val,9821161,6592297,7,2,0.758065,0.6777,0.76,0.926829,0.835165,0.808362,0.756098,0.777778,0.75,0.857143,0.75,0.769231,41,9,12,adam,0.0003,0.0,all,16,16,mobilenet,149.62,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:39:15+00:00
tuning,A1_all,15d29ac5da,102,primary,split_v1.json,val,9821161,6592297,16,11,0.83871,0.796748,0.844444,0.926829,0.883721,0.908246,0.902439,0.777778,0.666667,0.9375,0.75,0.714286,41,9,12,adam,0.0003,0.0,all,16,16,mobilenet,302.32,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:44:18+00:00
tuning,A1_all,15d29ac5da,103,primary,split_v1.json,val,9821161,6592297,21,16,0.774194,0.666667,0.745455,1.0,0.854167,0.84669,0.804878,0.666667,0.75,0.882353,0.727273,0.823529,41,9,12,adam,0.0003,0.0,all,16,16,mobilenet,367.56,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:50:25+00:00
tuning,A1_all,f5e5f4b9b4,101,primary,split_v1.json,val,9821161,6592297,12,7,0.806452,0.760743,0.822222,0.902439,0.860465,0.861789,0.853659,0.666667,0.75,0.90625,0.571429,0.8,41,9,12,adam,0.001,0.0,all,16,16,mobilenet,214.33,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:54:00+00:00
tuning,A1_all,f5e5f4b9b4,102,primary,split_v1.json,val,9821161,6592297,13,8,0.822581,0.772938,0.826087,0.926829,0.873563,0.861789,0.829268,0.888889,0.75,0.892308,0.888889,0.769231,41,9,12,adam,0.001,0.0,all,16,16,mobilenet,236.73,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T22:57:57+00:00
tuning,A1_all,f5e5f4b9b4,103,primary,split_v1.json,val,9821161,6592297,9,4,0.66129,0.5,0.66129,1.0,0.796117,0.788618,0.731707,0.444444,0.583333,0.84507,0.615385,0.736842,41,9,12,adam,0.001,0.0,all,16,16,mobilenet,167.83,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T23:00:44+00:00
tuning,A1_all,5ce7e2bf49,101,primary,split_v1.json,val,9821161,6592297,10,5,0.806452,0.772358,0.837209,0.878049,0.857143,0.882695,0.829268,0.777778,0.75,0.888889,0.75,0.769231,41,9,12,rmsprop,0.0001,0.0,all,16,16,mobilenet,180.22,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T23:03:45+00:00
tuning,A1_all,5ce7e2bf49,102,primary,split_v1.json,val,9821161,6592297,9,4,0.806452,0.783972,0.853659,0.853659,0.853659,0.909408,0.829268,0.888889,0.666667,0.885246,0.857143,0.714286,41,9,12,rmsprop,0.0001,0.0,all,16,16,mobilenet,159.79,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T23:06:25+00:00
tuning,A1_all,5ce7e2bf49,103,primary,split_v1.json,val,9821161,6592297,13,8,0.774194,0.736353,0.813953,0.853659,0.833333,0.790941,0.804878,0.777778,0.666667,0.870968,0.75,0.714286,41,9,12,rmsprop,0.0001,0.0,all,16,16,mobilenet,224.67,tf2.20.0|keras3.15.1|py3.13.7|Windows|cpu,2026-09-01T23:10:09+00:00
