arm_pair,depth_config,sca_d,sca_r,total_params,trainable_params,non_trainable_params,match
A1|A2,early,8,8,9656049,6427185,3228864,True
A1|A2,early,8,16,9653929,6425065,3228864,True
A1|A2,early,16,8,9656209,6427345,3228864,True
A1|A2,early,16,16,9654025,6425161,3228864,True
A1|A2,mid,8,8,9718305,6489441,3228864,True
A1|A2,mid,8,16,9685249,6456385,3228864,True
A1|A2,mid,16,8,9718849,6489985,3228864,True
A1|A2,mid,16,16,9685537,6456673,3228864,True
A1|A2,late,8,8,9916001,6687137,3228864,True
A1|A2,late,8,16,9784353,6555489,3228864,True
A1|A2,late,16,8,9917057,6688193,3228864,True
A1|A2,late,16,16,9784897,6556033,3228864,True
A1|A2,all,8,8,9987057,6758193,3228864,True
A1|A2,all,8,16,9820233,6591369,3228864,True
A1|A2,all,16,8,9988817,6759953,3228864,True
A1|A2,all,16,16,9821161,6592297,3228864,True
A0_mobilenet,,,,9651649,6422785,3228864,
A0_cnn_scratch,,,,12938561,12938561,0,
A3,,,,9651652,6422788,3228864,
A5,,,,22497219,19268355,3228864,
script_classifier,,,,3231939,3075,3228864,
