group_id,kind,sha256,uid,class_folder,filename,width,height,bytes
1,within_class,0186a1663f86a53937f50b02c1b820f18ddb8db20cb45c7454d850d4b7ebe001,No/10 (12).jpeg,No,10 (12).jpeg,313,346,32231
1,within_class,0186a1663f86a53937f50b02c1b820f18ddb8db20cb45c7454d850d4b7ebe001,No/12 (23).jpeg,No,12 (23).jpeg,313,346,32231
1,within_class,0186a1663f86a53937f50b02c1b820f18ddb8db20cb45c7454d850d4b7ebe001,No/IMG_0357.jpeg,No,IMG_0357.jpeg,313,346,32231
2,within_class,022df789c7ec4f6ba034220e9a86a4b6e88117e2cdb6985d3befc1834aaa1ae3,No/9 (19).jpg,No,9 (19).jpg,129,130,8865
2,within_class,022df789c7ec4f6ba034220e9a86a4b6e88117e2cdb6985d3befc1834aaa1ae3,No/IMG_20231216_150534_777.jpg,No,IMG_20231216_150534_777.jpg,129,130,8865
3,cross_class,03f1fb3079305769b763effcd20baaef851d29dde66fc3ad0982ea3ef52db546,No/4 (9).jpeg,No,4 (9).jpeg,1086,544,112969
3,cross_class,03f1fb3079305769b763effcd20baaef851d29dde66fc3ad0982ea3ef52db546,No/IMG_0211.jpeg,No,IMG_0211.jpeg,1086,544,112969
3,cross_class,03f1fb3079305769b763effcd20baaef851d29dde66fc3ad0982ea3ef52db546,Yes/IMG_0211.jpeg,Yes,IMG_0211.jpeg,1086,544,112969
4,cross_class,042f92cb607077ca853c3b494db37fa991247fd7808e38ffacd2bda87f0015bf,No/4 (10).jpeg,No,4 (10).jpeg,1044,534,113053
4,cross_class,042f92cb607077ca853c3b494db37fa991247fd7808e38ffacd2bda87f0015bf,No/IMG_0212.jpeg,No,IMG_0212.jpeg,1044,534,113053
4,cross_class,042f92cb607077ca853c3b494db37fa991247fd7808e38ffacd2bda87f0015bf,Yes/IMG_0212.jpeg,Yes,IMG_0212.jpeg,1044,534,113053
5,within_class,0550e46f52919ff37b1bc36b57c20ed2f4d7382401dcb6806f915f963e17695a,No/9 (18).jpg,No,9 (18).jpg,133,129,8841
5,within_class,0550e46f52919ff37b1bc36b57c20ed2f4d7382401dcb6806f915f963e17695a,No/IMG_20231216_150534_776.jpg,No,IMG_20231216_150534_776.jpg,133,129,8841
6,within_class,057e255782bc288883ee9c7ecbd98685868c792a2f8211f3e8becd22b5d1d481,No/9 (10).jpg,No,9 (10).jpg,146,160,11540
6,within_class,057e255782bc288883ee9c7ecbd98685868c792a2f8211f3e8becd22b5d1d481,No/IMG_20231216_150534_768.jpg,No,IMG_20231216_150534_768.jpg,146,160,11540
7,within_class,07853271bad6725cb4d88878f86bb5eaf091acccd3a13d47fb054cd0bb86c2ac,No/10 (37).jpeg,No,10 (37).jpeg,193,374,25330
7,within_class,07853271bad6725cb4d88878f86bb5eaf091acccd3a13d47fb054cd0bb86c2ac,No/12 (11).jpeg,No,12 (11).jpeg,193,374,25330
7,within_class,07853271bad6725cb4d88878f86bb5eaf091acccd3a13d47fb054cd0bb86c2ac,No/14 (37).jpeg,No,14 (37).jpeg,193,374,25330
7,within_class,07853271bad6725cb4d88878f86bb5eaf091acccd3a13d47fb054cd0bb86c2ac,No/IMG_0345.jpeg,No,IMG_0345.jpeg,193,374,25330
8,cross_class,0948b739232349b8860be4d9a84ebb501f46822b1a596524e90e6a504447b839,No/IMG_0194.jpeg,No,IMG_0194.jpeg,787,912,145880
8,cross_class,0948b739232349b8860be4d9a84ebb501f46822b1a596524e90e6a504447b839,Yes/IMG_0194.jpeg,Yes,IMG_0194.jpeg,787,912,145880
9,within_class,0a33881ac92d4d8501963def56bac05d6f27d85e5d5bd51b8e7c09357ba6cf4c,No/2024-02-04 15.19.31.jpeg,No,2024-02-04 15.19.31.jpeg,494,399,41711
9,within_class,0a33881ac92d4d8501963def56bac05d6f27d85e5d5bd51b8e7c09357ba6cf4c,No/3 (5).jpeg,No,3 (5).jpeg,494,399,41711
10,within_class,0b3ac79e6da3b738fed669f5723b93826d52a80012216d6205a932b1afabbbf3,No/8 (9).jpeg,No,8 (9).jpeg,1117,674,143457
10,within_class,0b3ac79e6da3b738fed669f5723b93826d52a80012216d6205a932b1afabbbf3,No/IMG_0220.jpeg,No,IMG_0220.jpeg,1117,674,143457
11,cross_class,0b3b201d703e4e8101a0060551448b387ae6be7698ea16db6e321eac4e3685e3,No/IMG_0186.jpeg,No,IMG_0186.jpeg,687,317,49541
11,cross_class,0b3b201d703e4e8101a0060551448b387ae6be7698ea16db6e321eac4e3685e3,Yes/IMG_0186.jpeg,Yes,IMG_0186.jpeg,687,317,49541
12,within_class,0c435baf912720cd345852cc41344b7c478e61a6ee112fc50144d86c3bc82fd8,No/1 (4).jpeg,No,1 (4).jpeg,799,1162,208580
12,within_class,0c435baf912720cd345852cc41344b7c478e61a6ee112fc50144d86c3bc82fd8,No/IMG_0208.jpeg,No,IMG_0208.jpeg,799,1162,208580
13,within_class,0f1091a5d8f41fbda938ff10e38d87577704393e4314674739695d82f72e3ac9,No/5 (5).jpeg,No,5 (5).jpeg,925,1035,197966
